,continent,date,total_cases,new_cases,new_cases_smoothed,new_cases_smoothed_per_million,total_deaths,new_deaths,total_tests,new_tests,positive_rate,total_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,population,population_density
161,Africa,2021-06-28,3108902.0,13271.0,17416.002,421.05899999999997,84065.0,176.0,264810.0,0.0,0.0,27845524.0,253036.0,13069.0,500670780.0,1404.7669999999998
354,Asia,2021-06-28,47386634.0,97663.0,106167.43000000001,2487.031,617290.0,1812.0,604768301.0,2892303.0,0.8330000000000001,1797995962.0,31718174.0,144954.0,3947000540.0,36165.90700000001
563,Europe,2021-06-28,27151867.0,25710.0,25187.714,660.0059999999999,673294.0,806.0,141181630.0,291993.0,0.14300000000000002,269814927.0,2889961.0,170484.0,487153557.0,4191.684000000001
760,North America,2021-06-28,35495872.0,16982.0,14193.286,449.74300000000005,637681.0,188.0,36643986.0,110856.0,0.011000000000000001,362837649.0,1369868.0,46747.0,374852421.0,1565.7409999999998
896,Oceania,2021-06-28,30560.0,32.0,27.714000000000002,1.087,910.0,0.0,0.0,0.0,0.0,7374666.0,111989.0,4392.0,25499881.0,3.202
1083,South America,2021-06-28,23328966.0,47937.0,91684.0,1238.875,624377.0,1247.0,0.0,0.0,0.0,119508994.0,1506852.0,17805.0,270014849.0,55.031
